Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations"
Africa,,1/24/2020,0,
Africa,,1/25/2020,0,
Africa,,1/26/2020,0,
Africa,,1/27/2020,0,
Africa,,1/28/2020,0,
Africa,,1/29/2020,0,
Africa,,1/30/2020,0,
Africa,,1/31/2020,0,
Africa,,2/1/2020,0,
Africa,,2/2/2020,0,
Africa,,2/3/2020,0,
Africa,,2/4/2020,0,
Africa,,2/5/2020,0,
Africa,,2/6/2020,0,
Africa,,2/7/2020,0,
Africa,,2/8/2020,0,
Africa,,2/9/2020,0,
Africa,,2/10/2020,0,
Africa,,2/11/2020,0,
Africa,,2/12/2020,0,
Africa,,2/13/2020,0,
Africa,,2/14/2020,0,
Africa,,2/15/2020,0.14286,
Africa,,2/16/2020,0.14286,
Africa,,2/17/2020,0.14286,
Africa,,2/18/2020,0.14286,
Africa,,2/19/2020,0.14286,
Africa,,2/20/2020,0.14286,
Africa,,2/21/2020,0.14286,
Africa,,2/22/2020,0,
Africa,,2/23/2020,0,
Africa,,2/24/2020,0,
Africa,,2/25/2020,0,
Africa,,2/26/2020,0.14286,
Africa,,2/27/2020,0.14286,
Africa,,2/28/2020,0.28571,
Africa,,2/29/2020,0.28571,
Africa,,3/1/2020,0.57143,
Africa,,3/2/2020,0.71429,
Africa,,3/3/2020,1.14286,
Africa,,3/4/2020,1.28571,
Africa,,3/5/2020,2.57143,
Africa,,3/6/2020,3.71429,
Africa,,3/7/2020,5.71429,
Africa,,3/8/2020,5.57143,
Africa,,3/9/2020,11,
Africa,,3/10/2020,12.28571,
Africa,,3/11/2020,13.42857,
Africa,,3/12/2020,14,
Africa,,3/13/2020,18.57143,
Africa,,3/14/2020,22.71429,
Africa,,3/15/2020,27.85714,
Africa,,3/16/2020,34.42857,
Africa,,3/17/2020,43.85714,
Africa,,3/18/2020,55.57143,
Africa,,3/19/2020,73.57143,
Africa,,3/20/2020,83.57143,
Africa,,3/21/2020,110.42857,
Africa,,3/22/2020,133.85714,
Africa,,3/23/2020,152.14286,
Africa,,3/24/2020,190.85714,
Africa,,3/25/2020,244.14286,
Africa,,3/26/2020,293.85714,
Africa,,3/27/2020,362,
Africa,,3/28/2020,404.14286,
Africa,,3/29/2020,421.14286,
Africa,,3/30/2020,462.85714,
Africa,,3/31/2020,485.57143,
Africa,,4/1/2020,489,
Africa,,4/2/2020,508.28571,
Africa,,4/3/2020,515,
Africa,,4/4/2020,529.14286,
Africa,,4/5/2020,616.57143,
Africa,,4/6/2020,649.42857,
Africa,,4/7/2020,666.42857,
Africa,,4/8/2020,699.71429,
Africa,,4/9/2020,742.57143,
Africa,,4/10/2020,771,
Africa,,4/11/2020,777.71429,
Africa,,4/12/2020,746.57143,
Africa,,4/13/2020,763.85714,
Africa,,4/14/2020,784.14286,
Africa,,4/15/2020,822.42857,
Africa,,4/16/2020,828.14286,
Africa,,4/17/2020,864.14286,
Africa,,4/18/2020,992.14286,
Africa,,4/19/2020,1055.85714,
Africa,,4/20/2020,1111.57143,
Africa,,4/21/2020,1139.42857,
Africa,,4/22/2020,1190.85714,
Africa,,4/23/2020,1206.14286,
Africa,,4/24/2020,1270.28571,
Africa,,4/25/2020,1311.14286,
Africa,,4/26/2020,1322.71429,
